asset_uid,asset_code,asset_name,asset_type,category,configuration_details,quantity,rate,warranty_end_date,warranty_end_year,purchase_date,po_invoice_bill_no,po_invoice_bill_path,tagname_hostname,serial_number,vendor_name,assigned_to,asset_location,status,remarks,source_sheet,source_row,duplicate_warning,live_sync_status,live_hostname,live_machine_id,live_last_seen
HW-B3F583B747,NXT-HED-27,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,27,,,Laptop/Headphone Master,,,Sheet2,43,duplicate merged from Headphone Details row 31,not_checked,,,
HW-CC21C5126B,NXT-HED-28,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,28,,,Laptop/Headphone Master,,,Sheet2,44,duplicate merged from Headphone Details row 32,not_checked,,,
HW-00608DA84F,NXT-HED-29,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,29,,,Laptop/Headphone Master,,,Sheet2,45,duplicate merged from Headphone Details row 33,not_checked,,,
HW-8A5EAA2CB8,NXT-HED-30,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,30,,,Laptop/Headphone Master,,,Sheet2,46,duplicate merged from Headphone Details row 34,not_checked,,,
HW-0F16972B05,NXT-HED-31,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,31,,,Laptop/Headphone Master,,,Sheet2,47,duplicate merged from Headphone Details row 35,not_checked,,,
HW-BFD77504AC,NXT-HED-32,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,32,,,Laptop/Headphone Master,,,Sheet2,48,duplicate merged from Headphone Details row 36,not_checked,,,
HW-6E8AE019A3,NXT-HED-33,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,33,,,Laptop/Headphone Master,,,Sheet2,49,duplicate merged from Headphone Details row 37,not_checked,,,
HW-9E1B1E54BA,NXT-HED-34,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,34,,,Laptop/Headphone Master,,,Sheet2,50,duplicate merged from Headphone Details row 38,not_checked,,,
HW-7F3A622D4E,NXT-HED-35,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,35,,,Laptop/Headphone Master,,,Sheet2,51,duplicate merged from Headphone Details row 39,not_checked,,,
HW-0C0D9CDA1B,NXT-HED-36,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,36,,,Laptop/Headphone Master,,,Sheet2,52,duplicate merged from Headphone Details row 40,not_checked,,,
